model,avg_latency_ms,avg_delta_power_w,throughput_items_per_s,area_used_mm2
alexnet,637.380,0.92357,800.0000,130.7136
densenet121,7718.614,3.09544,66.6667,101.8624
efficientnet_b0,4011.548,0.89280,133.3333,100.3168
mobilenet_v2,2496.276,1.75198,216.6667,103.4080
mobilenet_v3_small,2263.674,0.15942,233.3333,96.7104
regnet_y_400mf,4185.159,0.18105,133.3333,102.3776
resnet18,1133.588,2.59150,450.0000,125.0464
shufflenet_v2_x1_0,3418.742,0.14555,150.0000,103.4080
squeezenet1_0,1171.523,1.67701,433.3333,106.4992
vgg11,2047.247,0.13322,250.0000,134.3200
